pmid,title,abstract,year,journal,doi,publication_date,authors,keywords,alignment_score,tfidf_alignment_score,is_outlier
41695741,"Orthopedic trinity: Arthroscopy, sports medicine, and regenerative orthopedics.","Musculoskeletal conditions are among the leading causes of disability worldwide, necessitating the development of effective, specialized treatment approaches. In response, orthopedic practice has evolved into three distinct specialties: Arthroscopy, sports medicine, and regenerative orthopedics. Each domain represents a fundamentally different approach to musculoskeletal care: Arthroscopy addresses structural pathology through surgical intervention, sports medicine optimizes function through rehabilitation, and regenerative orthopedics modulates healing through biological therapies. These distinct methodologies serve different patient populations and clinical scenarios, requiring specialized training, equipment, and expertise. This review explores the historical evolution, unique therapeutic modalities, and independent clinical applications of these three fields, with emphasis on the Indian orthopedic landscape. Through a narrative synthesis of literature indexed in PubMed, Scopus, and peer-reviewed Indian sources, we delineate specific indications, outcome metrics, and innovations unique to each specialty. The future of orthopedic care lies not in forced integration but in the strategic application of the most appropriate specialty for each clinical scenario, ensuring optimal resource utilization and maintaining clinical excellence within each distinct discipline.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113197,2026-02-18,Madhan Jeyaraman; A S P V S Saketh; Naveen Jeyaraman; Swaminathan Ramasubramanian; Arulkumar Nallakumarasamy; Sathish Muthu,Arthroscopy; Orthopedic subspecialties; Regenerative orthopedics; Specialized care; Sports medicine,0.614094421330343,0.17173768089192523,True
41695740,Laminectomy alone vs laminectomy with posterior fusion in lumbar spinal stenosis: The role of instability.,"Lumbar spinal stenosis (LSS) is a common degenerative spinal disorder in older adults and a leading indication for surgery. Decompression via laminectomy remains the gold standard when conservative measures fail, but the addition of posterior fusion in cases without clear instability remains controversial. Anatomical and biomechanical considerations lie at the center of this debate. Central canal stenosis, lateral recess narrowing, and degenerative spondylolisthesis represent the main contributors to LSS, but they also raise the question of whether they signal true instability. Definitions of instability vary considerably across studies and guidelines, and thresholds for diagnosis remain inconsistent. While fusion is appropriate in the presence of instability, the lack of standardized criteria causes an uncertainty that may influence surgeons to fuse in cases without having definitive radiographic criteria for instability. The aim of this review is to compare laminectomy alone with laminectomy plus posterior fusion in the surgical management of LSS. Emphasis is given on anatomical and biomechanical considerations, instability definitions, clinical outcomes, and guideline recommendations. High-quality multicenter randomized trials are needed to develop universally accepted instability definitions, guide management of borderline cases, and optimize patient outcomes.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113932,2026-02-18,Mikail Chatzivasiliadis; Panagiotis Konstantinou; Dimitrios Koulalis; Lazaros Kostretzis; Nikolaos Gkantsinikoudis; Constantinos Chaniotakis; Krikor Gkoumousian; Stylianos Kapetanakis,Degenerative spondylolisthesis; Fusion; Guideline recommendations; Laminectomy; Lumbar spinal stenosis; Posterior fusion; Spinal instability,0.3120702937342613,0.09802155988969519,False
41695739,Early dislocation in primary total hip arthroplasty: Evaluation of treatment options following closed reduction.,"Although total hip arthroplasty (THA) is a very successful orthopedic operation with high long-term survival rates, some failures may occur and considerably influence the final outcome. Early dislocation following primary THA is a rare but challenging complication, which may affect functional recovery and patient satisfaction, especially in case of recurrence. Moreover, it is one of the most common reasons for revision, and is associated with substantial social, health, and economic costs. The aim is to critically review the current evidence on the management of early dislocation after primary THA, with particular focus on post-reduction treatment strategies and the role of immobilization techniques. Particular attention was given to the evidence base supporting various clinical approaches. The review highlights a lack of consensus regarding optimal post-reduction management. Several methods have been proposed, but most are supported by limited data and small case series. Comparative studies are scarce, and clinical outcomes are inconsistent. Based on current findings, the recommended post-reduction management practice remains controversial, but the effectiveness of immobilization in preventing recurrence is not supported by clinical evidence, and therefore should be avoided. Further high-quality studies are needed to establish standardized, evidence-based protocols that can improve patient outcomes and reduce the risk of recurrence.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113367,2026-02-18,Dario Regis; Romolo Borgese; Francesco Bagnis; Bruno Magnan; Elena Manuela Samaila,Brace; Closed reduction; Dislocation; Immobilization; Revision surgery; Risk factors; Total hip arthroplasty,0.3452637385448271,0.1803931350271208,False
41695738,Phosphatidylinositol-3-kinase/protein kinase B signaling dysregulation in steroid-induced osteonecrosis of the femoral head: A minireview of therapeutic implications.,"Steroid-induced osteonecrosis of the femoral head (SIONFH) is a serious complication of glucocorticoid (GC) therapy and is characterized by progressive bone collapse, ischemia, and impaired bone regeneration. The phosphatidylinositol-3-kinase/protein kinase B (PI3K/AKT) signaling pathway plays a pivotal role in maintaining bone homeostasis by regulating proliferation, differentiation, and survival of osteoblasts, osteoclasts, mesenchymal stem cells, and vascular endothelial cells. This minireview summarizes the mechanisms by which GCs disrupt PI3K/AKT signaling and the pathological consequences. The main results from the literature indicate that GCs suppress PI3K/AKT signaling in osteoblasts, leading to increased apoptosis and reduced bone formation. GCs also alter PI3K/ AKT-mediated signaling to promote osteoclast activity, shift bone marrow stromal cell differentiation toward adipogenesis, and induce endothelial dysfunction, all of which contribute to SIONFH pathogenesis. Consequently, targeting the PI3K/AKT pathway has emerged as a promising therapeutic strategy. Emerging interventions, including PI3K/AKT activators like insulin growth factor 1, stem cell therapies, and exosome-based treatments, have shown preclinical efficacy. In conclusion, the PI3K/AKT pathway is a central hub in SIONFH pathogenesis, and its modulation offers a promising avenue for developing novel targeted and personalized therapeutic approaches. Further investigation is essential to translate these preclinical findings into effective clinical treatments.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.110517,2026-02-18,Ya-Nan Wang; Jun-Xia Jiang; Cheng-Xiang Pang; Lei Sun; Ran Sun; Feng-Ming Wang; Hong-Jiang Jiang,Angiogenesis; Apoptosis; Cell differentiation; Femoral head necrosis; Glucocorticoids; Molecular targeted therapy; Phosphatidylinositol-3-kinase/protein kinase B signaling pathway,0.22221079328501595,0.0685950853900951,False
41695737,"Impact of preoperative frailty on complications, readmissions, and functional recovery following total knee arthroplasty in elderly patients.","BACKGROUND: Total knee arthroplasty (TKA) is increasingly performed in elderly patients with osteoarthritis, yet preoperative frailty is associated with adverse outcomes. Limited data exist from South Asian regions like Pakistan, where resource constraints and high osteoarthritis prevalence may influence these associations. AIM: To evaluate the association between preoperative frailty, assessed by the modified Frailty Index, and postoperative complications, hospital length of stay (LOS), 90-day readmission rates, and 1-year functional recovery in elderly Pakistani patients undergoing primary TKA. METHODS: This retrospective cohort study analyzed de-identified records from Bahawal Victoria Hospital, Bahawalpur, Pakistan (from January 2015 to September 2025). Patients aged ≥ 65 years with primary unilateral TKA for osteoarthritis were included. Frail patients ( n = 512) were propensity score-matched 1:4 to non-frail controls ( n = 2048) using nearest-neighbor matching with a caliper of 0.1. Propensity score estimation followed established methodological standards. Logistic regression, t -tests, χ 2 tests, and Kaplan-Meier analyses were used, with P < 0.05 denoting significance. Sensitivity analyses addressed alternative modified Frailty Index thresholds, matching overlap and missing data. RESULTS: Post-matching, groups were balanced. Frail patients had higher composite complications [21.1% vs 9.2%; adjusted odds ratio (OR) = 2.61, 95%CI: 2.05-3.32; P < 0.001], including surgical site infection (OR = 3.12, 95%CI: 2.18-4.46; P < 0.001), deep vein thrombosis (OR = 2.85, 95%CI: 1.92-4.23; P < 0.001), and pulmonary embolism (OR = 4.02, 95%CI: 2.45-6.59; P < 0.001). LOS was prolonged (5.6 ± 1.9 days vs 3.9 ± 1.5 days; P < 0.001), readmissions increased (17% vs 4%; OR = 4.74, 95%CI: 3.56-6.31; P < 0.001), and 1-year Knee Society Score was lower (75.5 ± 10.2 vs 85.1 ± 8.1; P < 0.001), with smaller delta Knee Society Score (30.3 ± 11.4 vs 39.0 ± 10.2; P < 0.001), approaching the minimal clinically important difference of approximately 9 points. Sensitivity analyses confirmed robustness. CONCLUSION: Preoperative frailty is associated with increased complications, extended LOS, higher readmissions, and impaired functional recovery in elderly TKA patients in this Pakistani cohort. These findings are most directly applicable to tertiary care centers in Pakistan with comparable patient complexity and resource availability. Extrapolation to primary care or markedly different healthcare systems requires further validation. Routine frailty screening may aid risk stratification and perioperative management in similar settings, considering regional challenges such as high tuberculosis prevalence.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.115188,2026-02-18,Muhammad Bilal Yasin; Muhammad Raheel; Muhammad Mustafa Ahmed; Sheharyar Ashfaq; Hamdoon Suharwardy Asim; Mohammed Qasim Rauf; Renad Fahim; Rejina Chhetri,Elderly; Frailty; Functional recovery; Hospital length of stay; Knee Society Score; Modified Frailty Index; Pakistan; Postoperative complications; Readmission; Total knee arthroplasty,0.3204757868606575,0.06350452763750214,False
41695736,Weight-adjusted low molecular weight heparin with surgery morning dose administration: Impact on hip hemiarthroplasty early infections.,"BACKGROUND: Several studies have questioned the efficacy of the standard perioperative low-molecular-weight heparin (LMWH) dose in preventing venous thromboembolic complications and have recommended dose escalation to a weight-based regimen. Other studies, however, have cautioned that higher anticoagulation regimens may be associated with an elevated risk of wound complications and periprosthetic joint infections. This dichotomy underscores the need for identifying the safety of the thromboprophylaxis approach in surgical settings. AIM: To analyze the effect of LMWH regimen modification to weight-based with dose administration the morning of surgery on the incidence of early (within 3 months) postoperative prosthetic joint infection (PJI) in patients with hip hemiarthroplasty (HA). METHODS: At our multi-hospital health system, LMWH dose escalation to the weight-based regimen without holding the morning dose on the day of surgery started in mid-June 2019. We have reviewed all cases of HA performed at our institution from 2007 to 2024 and divided them into two groups: Before and after the dose modification protocol. The number of early PJI cases has been studied in each group. RESULTS: A total of 33 HA early PJI cases fit the study selection criteria and were included in this study. Of the 1517 cases performed before the new protocol, 19 cases (1.25%) had early infections, while within the modified protocol (weight-based with morning dose), 14 cases (1.49%) had infections out of a total of 937 cases. The difference between the two groups was found to be not statistically significant ( z = -0.5, P = 0.6). CONCLUSION: Our results indicate that LMWH dose escalation to a weight-based regimen without withholding the LMWH morning dose on the day of surgery did not lead to a significant change in the rate of early PJI in this study. A larger, multicenter study would be ideal for providing stronger evidence.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.112757,2026-02-18,Ahmed M Nageeb Mahmoud; Hemil Hasmukh Maniar; Juan Bernate; Daniel S Horwitz,Anticoagulant; Enoxaparin; Hematoma; Hip hemiarthroplasty; Infection; Periprosthetic; Prosthetic joint,0.2890888323503403,0.09857658347320747,False
41695735,"Value of ""true"" leukocytosis formula in determining total knee arthroplasty prosthetic joint infection in the community hospital setting.","BACKGROUND: With the advent of recent point of care testing to evaluate for prosthetic joint infection (PJI) such as alpha-defensin and calprotectin, the diagnosis of PJI has reached a new paramount. The most widely accepted diagnostic criteria in the literature at this time is the international consensus meeting (ICM) score by Parvizi et al in 2018. One of the proposed limitations of the ICM criteria is determining if fluid analysis can be trusted for bloody joint aspirations. A proposed formula to correct red blood cells in aspirations was described in 2008 but has not been explored since then. AIM: To determine if the ""true leukocytosis"" formula for prosthetic joint aspirations is useful in determining PJIs. METHODS: Of 158 cases with International Classification of Diseases, 10 th revision diagnoses of total knee arthroplasty PJIs from 2020-2021 from a single health system were reviewed and preoperative ICM scores were calculated. Inclusion criteria involved preoperative scores indicating infection, first time diagnoses, and culture positive infections. Culture positivity remained our gold standard for infection confirmation. We compared sensitivity, specificity, positive predictive value, negative predictive value, and area under the curve for preoperative ICM score and corrected preoperative ICM score. RESULTS: Of 81 cases met the inclusion criteria and had preoperative ICM scores calculated. Of the 81 cases that met inclusion criteria, no cases were found to have different preoperative ICM scores after applying the correction formula for ""true leukocytosis"" proposed by Ghanem et al in 2008. CONCLUSION: Given the lack of variance in ICM score following the proposed correction formula, it appears that the proposed ""true leukocytosis"" formula is not a useful adjuvant in treatment decision making.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113667,2026-02-18,Brendan M Sweeney; Shaan Sadhwani; Timothy Edwards; Matthew Kelly,Criteria; International consensus meeting criteria; Periprosthetic joint infection; Total knee arthroplasty; Total nucleated cell count; True leukocytosis,0.41840356721660243,0.07590683381291034,False
41695734,Barriers to orthopedic surgery research productivity in Saudi Arabia.,"BACKGROUND: Research productivity is a cornerstone of academic medicine, driving evidence-based practice, innovation, and professional advancement. In surgical specialties such as orthopedics, active research engagement is essential to improving patient outcomes and advancing clinical techniques. However, despite notable progress in Saudi Arabia's medical research landscape, orthopedic research output remains limited and concentrated within a few institutions. Understanding the barriers that hinder orthopedic surgeons from conducting research is therefore crucial to strengthening national research capacity and aligning with Saudi Vision 2030's goal of fostering scientific excellence. AIM: To identify the barriers that limit research productivity among orthopedic surgeons in Saudi Arabia and explore the goals and motivations influencing their engagement in research across different subspecialties and levels of practice. METHODS: We used a descriptive, cross-sectional, quantitative design, employing a structured online questionnaire distributed to 105 orthopedic surgeons across Saudi Arabia. The questionnaire was adapted from validated tools and reviewed for validity. Participants reported practice patterns, research activity, and barriers to productivity. Associations between variables were analyzed using univariate and multivariate methods. RESULTS: A total of 105 orthopedic surgeons completed the survey. A statistically significant association was found between prior research experience and having served as a primary investigator within the past 5 years. Additionally, a highly significant association was found with co-authorship in the last 5 years ( P < 0.001), as 52 participants (55.3%) had contributed as co-authors at least once. However, there was no significant association between prior research experience and factors such as allocated research time ( P = 0.280), level of practice ( P = 0.147), years in practice ( P = 0.826), or the number of patients seen per week ( P = 0.885). Univariate analysis revealed several barriers to research productivity: (1) Insufficient research time (71; 67.6%); (2) Lack of research assistants (57; 54.3%); (3) Inadequate research training (48; 45.7%); (4) Lack of funding (42; 40%); (5) Lack of research collaboration (39; 37.1%); (6) Lack of reward/incentive (38; 36.2%); and (7) No personal interest (20; 19.04%). CONCLUSION: Addressing protected time, support staff, and research training may enhance orthopedic research productivity. This study highlights key institutional and educational gaps that can guide policy reforms and strengthen national orthopedic research capacity.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113461,2026-02-18,Abdulrahman Alaseem; Sara Alhomaidhi; Shahad Aljudi; Waleed Albishi,Orthopedic research; Orthopedic surgery; Research barriers; Research productivity; Research training; Saudi Arabia,0.5514756242482353,0.16359003099955044,True
41695733,Necessity of grafting in scaphoid nonunion fixation: A comparative outcome analysis.,"BACKGROUND: Scaphoid nonunion (SNU) presents substantial functional limitations, frequently necessitating surgical intervention to restore wrist mobility and prevent degenerative changes. While the traditional approach to managing SNUs has relied on open fixation combined with bone grafting, the universal necessity of grafting, especially in stable nonunion (NU), is increasingly questioned. Emerging evidence indicates that graft-less fixation can deliver favorable outcomes, with notable healing observed in such cases. AIM: To compare the outcomes of graft-less vs graft-augmented fixation in stable SNU, focusing on union rates (URs), healing time (HT), and functional recovery. METHODS: A retrospective analysis of 44 patients with stable SNUs (Slade grades I-V) managed by either graft-less ( n = 21) or graft-augmented ( n = 23) fixation. Subgroup analysis included non-vascularized ( n = 12) and vascularized grafts ( n = 11). Clinical and radiological outcomes were assessed over a minimum 24-month follow-up. HT and UR were compared across groups concerning NU type, bone resorption, duration, and anatomical location. RESULTS: Overall UR was 81.8%. URs did not differ significantly between groups ( P > 0.05), whereas HT was significantly shorter with graft augmentation ( P < 0.001). Graft-less fixation yielded superior grip strength ( P < 0.001), radial/ulnar tilt ( P = 0.004, < 0.001), and Mayo modified wrist scores ( P = 0.01). Graft augmentation particularly improved outcomes in cystic SNUs, those with ≥ 5 mm bone loss, and NUs ≥ 1 year. Non-vascularized and vascularized grafts demonstrated comparable outcomes (UR: 91.7% vs 81.8%, P = 0.5). Smoking showed a significant association with delayed healing in graft-augmented fixation ( P = 0.04), whereas no such relationship was observed in graft-less fixation. CONCLUSION: Fixation without grafting is viable in selected stable SNUs, offering comparable union and superior function, albeit with longer HT. Bone grafting remains advantageous in cystic, long-standing, or biologically compromised NUs. Treatment should be tailored based on NU characteristics and patient factors.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.112889,2026-02-18,Amr Elshahhat; Moheib Ahmed; Ahmed Saleh; Yasser Abed; Hany Elashmawy; Khaled Nour,Graft-less fixation; Mini-dorsal wrist approach; Scaphoid nonunion; Scaphoid union; Vascularized graft; Wrist capsulotomy,0.3415355917903963,0.054890190518471535,False
41695732,Lipid metabolism disorders and osteoarthritis progression: Potential intervention with plant active ingredients.,"Osteoarthritis (OA) is a degenerative joint disease characterized by progressive articular cartilage destruction, subchondral bone alterations, and localized inflammation. With global population aging, the prevalence of OA continues to rise, imposing a substantial social and economic burden. In recent years, lipid metabolism disorders have been identified as key contributors to the development and progression of OA. Adipose tissue functions not only as an energy reservoir but also as an endocrine organ that regulates immune responses, inflammation, and cartilage degradation through the secretion of adipokines ( e.g. , leptin and lipocalin). Abnormal fatty acid metabolism, particularly the imbalance between fatty acid synthesis and catabolism and the dysregulated secretion of adipokines, is closely associated with OA pathogenesis. Bioactive phytochemicals are increasingly recognized as promising therapeutic agents for regulating lipid metabolism and slowing OA progression, due to their favorable biological activity and low toxicity. This review summarizes the relationship between lipid metabolism disorders and OA, highlights the mechanisms by which representative phytochemicals ( e.g. , curcumin, green tea polyphenols, and resveratrol) regulate lipid metabolism and attenuate OA progression, and further analyzes the endocrine role of adipose tissue, the impact of fatty acid metabolism on OA, and the therapeutic potential of phytochemicals through lipid metabolism modulation.",2026,World journal of orthopedics,10.5312/wjo.v17.i2.113405,2026-02-18,Tao Zhang; Jin-Long Liu; Wei Wang; Ke Ren; Xiao-Mei Liu; Ke Cao; Zhen Li; Xi-Yao Cheng; Xin-Yu Zhang; Wen-Sheng Xu,Adipose tissue; Lipid metabolism; Lipid metabolism disorders; Osteoarthritis; Plant active ingredients,0.20594779019227338,0.07054263001466635,False
