pmid,title,abstract,year,journal,doi,publication_date,authors,keywords,alignment_score,tfidf_alignment_score,bertopic_topic_id,bertopic_is_noise,bertopic_topic_keywords,bertopic_topic_label,is_outlier
41480508,Advancing global orthopedic research through culturally adapted outcome measures.,"Patient-reported outcome measures (PROMs) are essential in orthopedic research and clinical practice, promoting standardized assessments of treatment efficacy and patient well-being. However, their validity across diverse populations depends on rigorous processes of translation, cultural adaptation, and validation. AlMousa et al successfully validated the Arabic version of the American Academy of Orthopedic Surgeons Foot and Ankle Outcomes Questionnaire, demonstrating strong reliability and clinical applicability for Arabic-speaking patients with traumatic foot and ankle injuries. This article highlights the vital role of culturally adapted PROMs in expanding the global scope of orthopedic research, enhancing patient-centered care, and promoting international collaboration. By addressing linguistic and cultural barriers, such adaptations support a more comprehensive and inclusive approach to evidence-based medicine. Future research should aim to optimize the integration of adapted PROMs into clinical practice, evaluate their influences on treatment decision-making, and investigate their functions in large-scale multicenter studies to further globally advance orthopedic research.",2025,World journal of orthopedics,10.5312/wjo.v16.i12.111583,2025-12-18,Yao Peng; Qiang-Qiang You; Fa Shu; Jia-Qi Zhang,Cultural adaptation; Evidence-based medicine; Foot and ankle injuries; Orthopedic research; Patient-reported outcome measures,0.5629769137582301,0.16397194047557348,-1,True,patients; bone; treatment; results; methods,Noise,True
41181042,Emerging neural modulation techniques for the management of phantom limb pain: Evidence from randomized controlled trials.,"Phantom limb pain (PLP), a common sequela of amputation, affects up to 86% of amputees and significantly impairs quality of life. PLP is thought to stem from complex central and peripheral nervous system plasticity. Current treatments, including pharmacological and non-pharmacological approaches, have limited efficacy. Recently, extended reality technologies have emerged as promising tools for PLP management, leveraging immersive sensory input to modulate cortical reorganization. Of note, emerging neural modulation techniques also offer promising alternatives, including peripheral nerve stimulation, repetitive transcranial magnetic stimulation and transcranial direct current stimulation. These approaches demonstrate clinical efficacy in relieving pain, improving functional outcomes and reducing opioid usage. Future research could prioritize large-scale trials to validate the efficacy of nerve stimulation techniques and explore their integration with extended reality technologies for PLP.",2025,World journal of orthopedics,10.5312/wjo.v16.i10.111521,2025-10-18,Ming-Hui Dong; Yu-Qin Yao; Qiong-Yue Cao; Zheng Li; Jian Na,Peripheral nerve stimulation; Phantom limb pain; Repetitive transcranial magnetic stimulation; Transcranial direct current stimulation; Treatments,0.17959697000456698,0.05629989204095109,2,False,spinal; pain; lumbar; patients; spine,"Topic 2: spinal, pain, lumbar",True
40547242,Arthroscopic management of a rare free-edge medial meniscal cyst: A case report.,"BACKGROUND: Meniscal cysts are a relatively uncommon form of meniscus pathology and often coexist with meniscus tears or degeneration. They are typically diagnosed as intra-meniscal cysts or para-meniscal cysts. The majority of para-meniscal cysts protrude towards the joint capsule side of the meniscus, and to date, no cases have been documented at the free edge of the meniscus. The present case of free-edge medial meniscal cysts will contribute to a deeper understanding of meniscal cysts. CASE SUMMARY: A 30-year-old male presented with intermittent right knee pain six months ago. Diagnostic arthroscopic examination revealed a medial meniscus tear accompanied by a meniscal cyst. The patient's clinical findings, imaging results, surgical procedures, relevant images and outcomes are described. The unique aspect of this case is the occurrence of the meniscal cyst at the free-edge of the meniscus, providing valuable insights for the classification and further study of meniscal cysts. CONCLUSION: This first case of meniscal free-edge cyst exemplifies the expansion of the spectrum of morphological types of meniscal cysts.",2025,World journal of orthopedics,10.5312/wjo.v16.i6.108454,2025-06-18,Ming Ding; Bing-Hui Liao; Lei Shangguan; Ying-Chun Wang; Hu Xu,Case report; Knee arthroscopy; Magnetic resonance imaging; Meniscal cyst; Meniscus tear,0.12391218709643222,0.06386977034967171,7,False,acl; reconstruction; meniscal; graft; ligament,"Topic 7: acl, reconstruction, meniscal",True
40496261,Long non-coding RNA GAS5 promotes neuronal apoptosis in spinal cord injury via the miR-21/PTEN axis.,"BACKGROUND: Spinal cord injury (SCI) is a severe and permanent trauma that often leads to significant motor, sensory, and autonomic dysfunction. Neuronal apoptosis is a major pathomechanism underlying secondary injury in SCI. Long non-coding RNAs (lncRNAs) have emerged as key regulators of gene expression and cellular processes, including apoptosis. However, the role of lncRNA growth arrest-specific transcript 5 (GAS5) in SCI-induced neuronal apoptosis remains unclear. AIM: To investigate the role of lncRNA GAS5 in SCI-induced neuronal apoptosis via its interaction with microRNA (miR)-21 and the phosphatase and tensin homolog (PTEN)/AKT pathway. METHODS: SCI rat models and hypoxic neuronal cell models were established. Motor function was assessed using the Basso-Beattie-Bresnahan score. Expression levels of GAS5, miR-21, PTEN, caspase 3, B-cell lymphoma 2 (Bcl-2), Bcl-2-associated X protein (Bax), and AKT were measured using quantitative PCR or Western blot analysis. Neuronal apoptosis was determined by TUNEL staining. Dual-luciferase reporter assays validated GAS5-miR-21 binding. Knockdown and overexpression experiments explored the functional effects of the GAS5/miR-21 axis. RESULTS: GAS5 was significantly upregulated in the spinal cord following SCI, coinciding with increased neuronal apoptosis and decreased AKT activation. In vitro experiments demonstrated that GAS5 acted as a molecular sponge for miR-21, leading to increased PTEN expression and inhibition of the AKT signaling pathway, thereby promoting apoptosis. In vivo , GAS5 knockdown attenuated neuronal apoptosis, enhanced AKT activation, and improved motor function recovery in SCI rats. CONCLUSION: GAS5 promotes neuronal apoptosis in SCI by binding to miR-21 and upregulating PTEN expression, inhibiting the AKT pathway. Targeting GAS5 may represent a novel therapeutic strategy for SCI.",2025,World journal of orthopedics,10.5312/wjo.v16.i5.106183,2025-05-18,Ying-Jie Wang; Zhong-Zheng Zhi; Tao Liu; Jian Kang; Guang-Hui Xu,Growth arrest-specific transcript 5; Long non-coding RNA; MicroRNA-21; Neuronal apoptosis; Spinal cord injury,0.1681557213660632,0.03905111985886956,1,False,knee; patients; tka; group; bone,"Topic 1: knee, patients, tka",True
39850033,Role of neurogenic inflammation in intervertebral disc degeneration.,"In healthy intervertebral discs (IVDs), nerves and blood vessels are present only in the outer annulus fibrosus, while in degenerative IVDs, a large amount of nerve and blood vessel tissue grows inward. Evidence supports that neurogenic inflammation produced by neuropeptides such as substance P and calcitonin gene related peptide released by the nociceptive nerve fibers innervating the IVDs plays a crucial role in the process of IVD degeneration. Recently, non-neuronal cells, including IVD cells and infiltrating immune cells, have emerged as important players in neurogenic inflammation. IVD cells and infiltrating immune cells express functional receptors for neuropeptides through which they receive signals from the nervous system. In return, IVD cells and immune cells produce neuropeptides and nerve growth factor, which stimulate nerve fibers. This communication generates a positive bidirectional feedback loop that can enhance the inflammatory response of the IVD. Recently emerging transient receptor potential channels have been recognized as contributors to neurogenic inflammation in the degenerative IVDs. These findings suggest that neurogenic inflammation involves complex pathophysiological interactions between sensory nerves and multiple cell types in the degenerative IVDs. Clarifying the mechanism of neurogenic inflammation in IVD degeneration may provide in-depth understanding of the pathology of discogenic low back pain.",2025,World journal of orthopedics,10.5312/wjo.v16.i1.102120,2025-01-18,Bao-Gan Peng; Yong-Chao Li; Liang Yang,Discogenic low back pain; Intervertebral disc degeneration; Neurogenic inflammation; Neuropeptides; Neurotrophins; Transient receptor potential channels,0.13832704448515326,0.059798002058733854,2,False,spinal; pain; lumbar; patients; spine,"Topic 2: spinal, pain, lumbar",True
39600859,Metagenomic next-generation sequencing may assist diagnosis of osteomyelitis caused by Mycobacterium houstonense : A case report.,"BACKGROUND: Mycobacterium houstonense ( M. houstonense ) belongs to the nontuberculous mycobacterium group. Infection caused by M. houstonense is prone to recurrence. CASE SUMMARY: We present a patient who was diagnosed with osteomyelitis caused by M. houstonense and treated with a combination of cefoxitin, and amikacin combined with linezolid. CONCLUSION: The emergence of metagenomic next-generation sequencing (NGS) has brought new hope for the diagnosis and treatment of listeria meningitis. NGS can analyze a large number of nucleic acid sequences in a short time and quickly determine the pathogen species in the sample. Compared with traditional cerebrospinal fluid culture, NGS can greatly shorten the diagnosis time and provide strong support for the timely treatment of patients. Regarding treatment, NGS can also play an important role. Rapid and accurate diagnosis can enable patients to start targeted treatment as soon as possible and improve the treatment effect. At the same time, by monitoring the changes in pathogen resistance, the treatment plan can be adjusted in time to avoid treatment failure.",2024,World journal of orthopedics,10.5312/wjo.v15.i11.1095,2024-11-18,Hong-Yin Lin; Quan-Hui Tan,Case report; Diagnosis; Metagenomic next-generation sequencing; Mycobacterium houstonense; Osteomyelitis; Treatment,0.15583654554692927,0.07297383112716717,3,False,infection; pji; antibiotic; patients; infections,"Topic 3: infection, pji, antibiotic",True
39473512,Research trends in exercise therapy for the treatment of pain in postmenopausal osteoporosis over the past decade: A bibliometric analysis.,"BACKGROUND: Postmenopausal osteoporosis (PMOP) is the most common form of primary osteoporosis among women, and the associated pain often drives patients to seek clinical intervention. Numerous studies have highlighted the unique clinical benefits of exercise therapy (ET) in alleviating PMOP-related pain. However, bibliometric analyses examining collaboration, development trends, and research frontiers in the field of ET for PMOP pain remain scarce. AIM: To explore the research trends in ET for pain treatment in PMOP patients over the past decade. METHODS: All scholarly works were meticulously sourced from the Science Citation Index-Expanded within the prominent Web of Science Core Collection. Utilizing the capabilities of CiteSpace 6.2.R5, we conducted a thorough analysis of publications, authors, frequently cited scholars, contributing nations, institutions, journals of significant citation, comprehensive references, and pivotal keywords. Additionally, our examination explored keyword cooccurrences, detailed timelines, and periods of heightened citation activity. This comprehensive search, from 2014 through 2023, was completed within a single day, on October 11, 2023. RESULTS: In total, 2914 articles were ultimately included in the analysis. There was a rapid increase in annual publication output in 2015, followed by stable growth in subsequent years. Boninger, Michael L, is the most prolific author, whereas Ware JE has the most citations. The United States' global influence is significant, surpassing all other nations. The University of California System and Harvard University are the most influential academic institutions. J Bone Joint Surg Am is the most influential journal in this field. ""Spinal cord injury"" is the keyword that has garnered the most attention from researchers. The developmental pattern in this field is characterized by interdisciplinary fusion, with different disciplines converging to drive progress. CONCLUSION: The academic development of the field of ET for pain in PMOP has matured and stabilized. Clinical management and rehabilitation strategies, along with the mechanisms underlying the relationship between ET and bone resorption analgesia, continue to be the current and future focal points of research in this field.",2024,World journal of orthopedics,10.5312/wjo.v15.i10.950,2024-10-18,Zhao-Qiu Dai; Xiao-Yan Gong; Rong Zhang; Mei-Qin Jin; Wei Lu; Wen Wen; Jie Chen; Fang-Jie Lu; Yi-Fan Yang; Lei Wang; Xiao-Jin He,Bibliometric analysis; CiteSpace; Exercise therapy; Pain; Postmenopausal osteoporosis; Web of Science,0.5920742650331281,0.1800663025546983,-1,True,patients; bone; treatment; results; methods,Noise,True
39165873,Hemophagocytic lymphohistiocytosis triggered by relapsing polychondritis: A case report.,"BACKGROUND: Hemophagocytic lymphohistiocytosis (HLH) is a rare, life-threatening disorder caused by abnormal histiocytes and T cell activation. In adults, it is predominantly associated with infections, cancers, and autoimmune diseases. Relapsing polychondritis (RP), another rare disease, is diagnosed based on symptoms without specific tests, featuring cartilage inflammation characterized by swelling, redness, and pain, rarely inducing HLH. CASE SUMMARY: A 74-year-old woman visited the emergency room with a fever of 38.6 °C. Blood tests, cultures, and imaging were performed to evaluate fever. Results showed increased fluorescent antinuclear antibody levels and mild cytopenia, with no other specific findings. Imaging revealed lymph node enlargement was observed; however, biopsy results were inconclusive. Upon re-evaluation of the physical exam, inflammatory signs suggestive of RP were observed in the ears and nose, prompting a tissue biopsy for confirmation. Simultaneously, persistent fever accompanied by cytopenia prompted a bone marrow examination, revealing hemophagocytic cells. After finding no significant results in blood culture, viral markers, and tissue examination of enlarged lymph nodes, HLH was diagnosed by RP. Treatment involved methylprednisolone followed by azathioprine. After two months, bone marrow examination confirmed resolution of hemophagocytosis, with normalization of hyperferritinemia and pancytopenia. CONCLUSION: Thorough physical examination enabled diagnosis and treatment of HLH triggered by RP in patients presenting with fever of unknown origin.",2024,World journal of orthopedics,10.5312/wjo.v15.i8.813,2024-08-18,Mi-Ran Han; Jeong-Hwan Hwang; Seungah Cha; So-Yeon Jeon; Kyu Yun Jang; Namsu Kim; Chang-Hoon Lee,Autoimmune disease; Case report; Fever of unknown origin; Hemophagocytic lymphohistiocytosis; Relapsing polychondritis; Steroid,0.14716899891508123,0.059644490011884294,3,False,infection; pji; antibiotic; patients; infections,"Topic 3: infection, pji, antibiotic",True
38596192,New method of local adjuvant therapy with bicarbonate Ringer's solution for tumoral calcinosis: A case report.,"BACKGROUND: Tumoral calcinosis is a condition characterized by deposits of calcium phosphate crystals in extra-articular soft tissues, occurring in hemodialysis patients. Calcium phosphate crystals are mainly composed of hydroxyapatite, which is highly infiltrative to tissues, thus making complete resection difficult. An adjuvant method to remove or resolve the residual crystals during the operation is necessary. CASE SUMMARY: A bicarbonate Ringer's solution with bicarbonate ions (28 mEq/L) was used as the adjuvant. After resecting calcium phosphate deposits of tumoral calcinosis as much as possible, while filling with the solution, residual calcium phosphate deposits at the pseudocyst wall can be gently scraped by fingers or gauze in the operative field. A 49-year-old female undergoing hemodialysis for 15 years had swelling with calcium deposition for 2 years in the shoulders, bilateral hip joints, and the right foot. A shoulder lesion was resected, but the calcification remained and early re-deposition was observed. Considering the difficulty of a complete rection, we devised a bicarbonate dissolution method and excised the foot lesion. After resection of the calcified material, the residual calcified material was washed away with bicarbonate Ringer's solution. CONCLUSION: The bicarbonate dissolution method is a new, simple, and effective treatment for tumoral calcinosis in hemodialysis patients.",2024,World journal of orthopedics,10.5312/wjo.v15.i3.302,2024-03-18,Takashi Noguchi; Akio Sakamoto; Kensaku Kakehi; Shuichi Matsuda,Adjuvant therapy; Bicarbonate; Case report; Ringer’s solution; Surgery; Tumoral calcinosis,0.08500917619771331,0.05644743725435096,8,False,bone; treatment; lesions; patient; abc,"Topic 8: bone, treatment, lesions",True
38464353,"Limb Lengthening and Reconstruction Society orthopedic surgeons in the United States: An analysis of geographical distribution, academic, leadership, and demographic characteristics.","BACKGROUND: The Limb Lengthening and Reconstruction Society (LLRS) is a premier orthopedic specialty organization that promotes limb reconstruction for all ages. LLRS membership characteristics, however, are poorly reported. This study delineates orthopedic surgeon LLRS members' demographic traits, academic achievement, leadership attainment, and geographical distribution across the United States. AIM: To inform aspiring orthopedic professionals, as well as to promote growth and diversity in both the LLRS organization and overarching field. METHODS: This cross-sectional study examined United States LLRS members' academic, leadership, demographic, and geographical attributes. After reviewing the 2023 LLRS member directory, Google search results were matched to the listings and appended to the compiled data. Sex and ethnicity were evaluated visually utilizing retrieved images. The Hirsch index (H-index) of academic activity, residency and fellowship training, other graduate degrees, leadership positions, practice type (academic or non-academic), and spoken languages were categorized. LLRS members per state and capita determined geographic distribution. The Mann-Whitney U test was applied to compare H-index between males and females, as well as to assess member differences pertaining to affiliation with academic vs non-academic practice facilities. RESULTS: The study included 101 orthopedic surgeons, 78 (77.23%) Caucasian and 23 (22.77%) non-Caucasian, 79 (78.22%) male and 22 (21.78%) female. Surgeons with DO degrees comprised only 3.96% (4) of the cohort, while the vast majority held MDs [96.04% (97)]. Mean H-index was 10.55, with male surgeons having a significantly higher score ( P = 0.002). Most orthopedic surgeons (88.12%,) practiced in academic centers. Of those professionals who occupied leadership positions, 14% were women, while 86% were men. Additionally, 19 (37.25%) United States regions and the District of Columbia lacked an LLRS-member orthopedic surgeon. Total per capita rate across the United States was 0.30 LLRS orthopedic surgeons per 1 million people. CONCLUSION: Over 21% of LLRS members are women, surpassing prior benchmarks noted in orthopedic faculty reporting. LLRS members' high research productivity scores imply field dedication that can refine expertise in the limb lengthening and reconstruction space. Gender disparities in leadership remain, however, necessitating greater equity efforts. A low rate of LLRS representation per capita must be addressed geographically as well, to affect improvements in regional care access. This study can serve to support aspiring orthopedic professionals, inform diversity, leadership, and field advancement strategies, and maintain the continued goal of enhanced patient care worldwide.",2024,World journal of orthopedics,10.5312/wjo.v15.i2.147,2024-02-18,Amir Human Hoveidaei; Reza Niakan; Seyed Hossein Hosseini-Asl; Abijith Annasamudram; Janet D Conway,Limb lengthening and reconstruction; Orthopedic fellowships; Orthopedic surgeon demographics; Orthopedic surgeon societal membership,0.5638593893425747,0.10514422387102276,4,False,covid19; orthopaedic; pandemic; orthopedic; ai,"Topic 4: covid19, orthopaedic, pandemic",True
