pmid,title,abstract,year,journal,doi,publication_date,authors,keywords,alignment_score,tfidf_alignment_score,is_outlier
28032039,Glomus tumors of the fingers: Expression of vascular endothelial growth factor.,"Glomus tumors are uncommon, benign, small neurovascular neoplasms derived from glomus bodies in the reticular dermis. Glomus bodies are found throughout the body to regulate body temperature and skin circulation; however, they are concentrated in the fingers and the sole of the foot. The typical presentation is a solitary nodule in the subungual or periungual area of the distal phalanx. The primary treatment of choice is surgical removal. We investigated expression of vascular endothelial growth factor (VEGF) using immunohistochemistry in glomus tumors of the fingers. All five glomus tumor samples were positive for VEGF expression. VEGF immunoreactivity was largely localized to the cytoplasm of tumor cells, suggesting a contribution of VEGF to the vascularization of glomus tumors.",2016,World journal of orthopedics,10.5312/wjo.v7.i12.843,2016-12-18,Sittisak Honsawek; Pravit Kitidumrongsook; Pobe Luangjarmekorn; Kawee Pataradool; Voranuch Thanakit; Adisorn Patradul,Fingers; Glomus tumors; Vascular endothelial growth factor,0.034925458349673054,0.07125315413092878,True
38596192,New method of local adjuvant therapy with bicarbonate Ringer's solution for tumoral calcinosis: A case report.,"BACKGROUND: Tumoral calcinosis is a condition characterized by deposits of calcium phosphate crystals in extra-articular soft tissues, occurring in hemodialysis patients. Calcium phosphate crystals are mainly composed of hydroxyapatite, which is highly infiltrative to tissues, thus making complete resection difficult. An adjuvant method to remove or resolve the residual crystals during the operation is necessary. CASE SUMMARY: A bicarbonate Ringer's solution with bicarbonate ions (28 mEq/L) was used as the adjuvant. After resecting calcium phosphate deposits of tumoral calcinosis as much as possible, while filling with the solution, residual calcium phosphate deposits at the pseudocyst wall can be gently scraped by fingers or gauze in the operative field. A 49-year-old female undergoing hemodialysis for 15 years had swelling with calcium deposition for 2 years in the shoulders, bilateral hip joints, and the right foot. A shoulder lesion was resected, but the calcification remained and early re-deposition was observed. Considering the difficulty of a complete rection, we devised a bicarbonate dissolution method and excised the foot lesion. After resection of the calcified material, the residual calcified material was washed away with bicarbonate Ringer's solution. CONCLUSION: The bicarbonate dissolution method is a new, simple, and effective treatment for tumoral calcinosis in hemodialysis patients.",2024,World journal of orthopedics,10.5312/wjo.v15.i3.302,2024-03-18,Takashi Noguchi; Akio Sakamoto; Kensaku Kakehi; Shuichi Matsuda,Adjuvant therapy; Bicarbonate; Case report; Ringer’s solution; Surgery; Tumoral calcinosis,0.08500917619771331,0.05797593148611851,True
29312846,Role of fast-setting cements in arthroplasty: A comparative analysis of characteristics.,"AIM: To evaluate the behaviour of two fast-setting polymethylmethacrylate (PMMA) cements CMW ® 2G and Palacos ® fast R + G, as reference: Standard-setting Palacos ® R + G. METHODS: The fast-setting cements CMW ® 2G and Palacos ® fast R + G were studied, using standard-setting high viscosity Palacos ® R + G as a reference. Eleven units (of two batch numbers) of each cement were tested. All cements were mixed as specified by the manufacturer and analysed on the following parameters: Handling properties (mixing, waiting, working and hardening phase) according to Kuehn, Mechanical properties according to ISO 5833 and DIN 53435, Fatigue strength according to ISO 16402, Benzoyl Peroxide (BPO) - Content by titration, powder/liquid-ratio by weighing, antibiotic elution profile by High Performance Liquid Chromatography. All tests were done in an acclimatised laboratory with temperatures set at 23.5 °C ± 0.5 °C and a humidity of > 40%. RESULTS: Palacos ® fast R + G showed slightly shorter handling properties (doughing, hardening phase, n = 12) than CMW ® 2G, allowing to reduce operative time and to optimise cemented cup implantation. Data of the quasistatic properties of ISO 5833 and DIN 53435 of both cements tested was comparable. The ISO compressive strength (MPa) of Palacos ® fast R + G was significantly higher than CMW ® 2G, resulting in ANOVA ( P < 0.01) and two sample t -test ( P < 0.01) at 0.05 level of significance ( n = 20). Palacos ® fast R + G showed a higher fatigue strength of about 18% mean (ISO 16402) of 15.3 MPa instead of 13.0 MPa for CMW ® 2G ( n = 5 × 10 6 cycles). Palacos ® fast R + G and CMW ® 2G differed only by 0.11% ( n = 6) with the former having the higher content. The BPO-content of both cements were therefore comparable. CMW ® 2G had a powder/liquid ratio of 2:1, Palacos ® fast R + G of 2.550:1 due to a higher powder content. Despite its higher gentamicin content, CMW ® 2G showed a significantly lower antibiotic elution over time than Palacos ® fast R + G ( n = 3). CONCLUSION: Both cements are compliant with international standards and are highly suitable for their specified surgical indications, affording a time-saving measure without detriment to the mechanical properties.",2017,World journal of orthopedics,10.5312/wjo.v8.i12.881,2017-12-18,Neil Ayron Caraan; Reinhard Windhager; Jason Webb; Nadine Zentgraf; Klaus-Dieter Kuehn,Antibiotic; Arthroplasty; Elution; Fast-setting; Fatigue; Polymethylmethacrylate; Viscosity,0.10694551317698903,0.05433875041331405,True
40547242,Arthroscopic management of a rare free-edge medial meniscal cyst: A case report.,"BACKGROUND: Meniscal cysts are a relatively uncommon form of meniscus pathology and often coexist with meniscus tears or degeneration. They are typically diagnosed as intra-meniscal cysts or para-meniscal cysts. The majority of para-meniscal cysts protrude towards the joint capsule side of the meniscus, and to date, no cases have been documented at the free edge of the meniscus. The present case of free-edge medial meniscal cysts will contribute to a deeper understanding of meniscal cysts. CASE SUMMARY: A 30-year-old male presented with intermittent right knee pain six months ago. Diagnostic arthroscopic examination revealed a medial meniscus tear accompanied by a meniscal cyst. The patient's clinical findings, imaging results, surgical procedures, relevant images and outcomes are described. The unique aspect of this case is the occurrence of the meniscal cyst at the free-edge of the meniscus, providing valuable insights for the classification and further study of meniscal cysts. CONCLUSION: This first case of meniscal free-edge cyst exemplifies the expansion of the spectrum of morphological types of meniscal cysts.",2025,World journal of orthopedics,10.5312/wjo.v16.i6.108454,2025-06-18,Ming Ding; Bing-Hui Liao; Lei Shangguan; Ying-Chun Wang; Hu Xu,Case report; Knee arthroscopy; Magnetic resonance imaging; Meniscal cyst; Meniscus tear,0.12391218709643222,0.06443444355898172,True
37970623,Vancomycin flushing syndrome in orthopaedic practice: A case report.,"BACKGROUND: Vancomycin flushing syndrome (VFS), also known as red man syndrome, is an allergic reaction to vancomycin. It typically presents as a rash on the face, neck, and upper torso after intravenous administration of vancomycin. VFS is blamed on rapid intravenous infusion of vancomycin during management and rarely happens after local use. A review of the literature showed that in the last 23 years, 4 such cases have been reported. Here, we add another case of VFS developed after slow local absorption of vancomycin in cement beads. CASE SUMMARY: A 44-year-old male with a known case of hypertension, no history of allergies to medications, and a history of chronic osteomyelitis of the right tibia with discharging sinus over the anterolateral aspect of the leg. The pus culture grew Staphylococcus aureus , which was sensitive to clindamycin and vancomycin. The patient underwent irrigation and debridement with the placement of vancomycin cement beads made from 4 g of vancomycin powder and 40 g of polymethyl methacrylate. Three hours postoperatively, the patient developed a pruritic, erythematous, macular rash predominantly on his face, neck, chest, and lower extremities and to a lesser extent his upper extremities. A diagnosis of VFS was made and was successfully treated with cetirizine (10 mg, oral) and methylprednisolone sodium succinate (125 mg, intravenous). The patient continued to have itching with a facial rash for 12 h with gradual improvement. A decision was made to not remove the beads as the patient continued to improve. Gradually, the rash disappeared after 96 h with no further sequela. CONCLUSION: VFS can occur not only after rapid intravenous injection of vancomycin but also with local release, as in our case. As orthopaedic surgeons routinely use vancomycin with polymethyl methacrylate in chronic osteomyelitis and revision arthroplasty, they should be aware of such a complication occurring.",2023,World journal of orthopedics,10.5312/wjo.v14.i10.771,2023-10-18,Fawaz M Al-Anii; Mir Sadat-Ali; Khalid Waleed Al-Tabash; Ahmad I AlMulhim; Sulaiman A AlMousa; Abdulaziz M AlHawas,Anaphylactic reactions; Case report; Red man syndrome; Vancomycin; Vancomycin flushing syndrome,0.1267589722079632,0.07601950074235156,True
27622153,Slacklining and stroke: A rehabilitation case study considering balance and lower limb weakness.,"To ascertain the effectiveness of slacklining as a supplementary therapy for elderly stroke patients who are functionally non-progressing. This case study involved an 18-mo prospective observation of the management of an 87-year-old female stroke-patient of the left hemisphere with reduced balance, reduced lower limb muscular activation, hypertonia, and concurrent postural deficits. This entailed the initial acute care phase through to discharge to home and 18-mo final status in her original independent living setting. The introduction of slacklining as an adjunct therapy was made 12 mo post incident. Slacklining involves balance retention on a tightened band where external environmental changes cause a whole-body dynamic response to retain equilibrium. It is a complex neuromechanical task enabling individualized self-developed response strategies to be learned and adapted. This facilitates the innate process of balance retention, lower-limb and core muscle activation, and stable posture through a combination of learned motor skills and neurological system down regulation. Individuals adopt and follow established sequential motor learning stages where the acquired balance skills are achieved in a challenging composite-chain activity. Slacklining could be considered an adjunct therapy for lower limb stroke rehabilitation where function is compromised due to decreased muscle recruitment, decreased postural control and compromised balance. Initial inpatient rehabilitation involved one-month acute-care, one-month rehabilitation, and one-month transitional care prior to home discharge. A further six months of intensive outpatient rehabilitation was provided with five hourly sessions per week including:supervised and self-managed hydrotherapy, plus one individual and two group falls' prevention sessions. These were supported by daily home exercises. At 12 mo post incident, recovery plateaued, then regressed following three falls. Rehabilitation was subsequently modified with the hydrotherapy retained and the group sessions replaced with an additional individual session supplemented with slacklining. The slacklining followed stages one and two of a standardized five-stage protocol. Self-reported functional progression resumed with improvement by 14 mo which further increased and was sustained 18 mo (Students' t test P < 0.05). Slacklining's external stimulations activate global-body responses through innate balance, optimal postural and potentially down-regulated reflex control. Incorporated into stroke rehabilitation programs, slacklining can provide measurable functional gains.",2016,World journal of orthopedics,10.5312/wjo.v7.i8.513,2016-08-18,Charles P Gabel; Natalie Rando; Markus Melloh,Balance; Lower limbs; Rehabilitation; Slacklining; Stroke,0.13010047608506084,0.07279135776740028,True
39850033,Role of neurogenic inflammation in intervertebral disc degeneration.,"In healthy intervertebral discs (IVDs), nerves and blood vessels are present only in the outer annulus fibrosus, while in degenerative IVDs, a large amount of nerve and blood vessel tissue grows inward. Evidence supports that neurogenic inflammation produced by neuropeptides such as substance P and calcitonin gene related peptide released by the nociceptive nerve fibers innervating the IVDs plays a crucial role in the process of IVD degeneration. Recently, non-neuronal cells, including IVD cells and infiltrating immune cells, have emerged as important players in neurogenic inflammation. IVD cells and infiltrating immune cells express functional receptors for neuropeptides through which they receive signals from the nervous system. In return, IVD cells and immune cells produce neuropeptides and nerve growth factor, which stimulate nerve fibers. This communication generates a positive bidirectional feedback loop that can enhance the inflammatory response of the IVD. Recently emerging transient receptor potential channels have been recognized as contributors to neurogenic inflammation in the degenerative IVDs. These findings suggest that neurogenic inflammation involves complex pathophysiological interactions between sensory nerves and multiple cell types in the degenerative IVDs. Clarifying the mechanism of neurogenic inflammation in IVD degeneration may provide in-depth understanding of the pathology of discogenic low back pain.",2025,World journal of orthopedics,10.5312/wjo.v16.i1.102120,2025-01-18,Bao-Gan Peng; Yong-Chao Li; Liang Yang,Discogenic low back pain; Intervertebral disc degeneration; Neurogenic inflammation; Neuropeptides; Neurotrophins; Transient receptor potential channels,0.13832704448515326,0.060430966677979404,True
36439370,Genetics of congenital anomalies of the hand.,"Congenital anomalies of the hand are malformations occurring during the development of the human limb, and present as isolated disorders or as a part of a syndrome. During the last years, molecular analysis techniques have offered increasing knowledge about the molecular basis of hand malformations. Disturbances in the signaling pathways during the development of the upper limb result in malformations of the upper extremity. At present, several genes have been identified as responsible for hand anomalies and other have been recognized as suspect genes related to them. Different and new high throughput methods have been introduced for the identification of the gene mutations. In the current editorial, we summarize concisely the current molecular status of isolated hand genetic disorders and the recent progress in molecular genetics, including the genes related to the disorder. This progress improves the knowledge of these disorders and has implications on genetic counselling and prenatal diagnosis.",2022,World journal of orthopedics,10.5312/wjo.v13.i11.949,2022-11-18,Zisis Kyriazis; Panagoula Kollia; Ioanna Grivea; Sotirios Sotiriou; Zoe H Dailiana,Diagnosis; Disorders; Gene; Hand; Molecular; Mutation,0.1390164325371269,0.1109353084637054,True
35949710,Reducing bacterial adhesion to titanium surfaces using low intensity alternating electrical pulses.,"BACKGROUND: Orthopedic implant-related infection remains one of the most serious complications after orthopedic surgery. In recent years, there has been an increased scientific interest to improve prevention and treatment strategies. However, many of these strategies have focused on chemical measures. AIM: To analyze the effect of alternating current electrical fields on bacterial adherence to titanium surfaces. METHODS: Staphylococcus aureus ( S. aureus ) and Escherichia coli ( E. coli ) were exposed to 6.5 V electrical currents at different frequencies: 0.5 Hz, 0.1 Hz, and 0.05 Hz. After exposure, a bacterial count was then performed and compared to the control model. Other variables registered included the presence of electrocoagulation of the medium, electrode oxidation and/or corrosion, and changes in pH of the medium. RESULTS: The most effective electrical model for reducing S. aureus adhesion was 6.5 V alternating current at 0.05 Hz achieving a 90% adhesion reduction rate. For E. coli , the 0.05 Hz frequency model also showed the most effective results with a 53% adhesion reduction rate, although these were significantly lower than S. aureus . Notable adhesion reduction rates were observed for S. aureus and E.coli in the studied conditions. However, the presence of electrode oxidation makes us presume these conditions are not optimal for in vivo use. CONCLUSION: Although our findings suggest electrical currents may be useful in preventing bacterial adhesion to metal surfaces, further research using other electrical conditions must be examined to consider their use for in vivo trials.",2022,World journal of orthopedics,10.5312/wjo.v13.i6.578,2022-06-18,Marti Bernaus; Jordi Guillem-Marti; Adrian Bermúdez-Castel; Jose Antonio Calero; Diego Torres; Margarita Veloso; Lluís Font-Vizcarra,Bacterial adhesion; Electrical fields; Metal surfaces; Orthopedic infection; Titanium,0.14232225407046806,0.07293266147275523,True
35949706,"Content of blood cell components, inflammatory cytokines and growth factors in autologous platelet-rich plasma obtained by various methods.","BACKGROUND: The evaluation of the efficacy of platelet-rich plasma (PRP) in clinical practice yields conflicting results and raises numerous controversies. This may be due to different concentrations of biologically active components in PRP obtained with the use of different methods of gravity separation. AIM: To compare the content, repeatability and correlations between biologically active components in PRP obtained with four different commercial systems. METHODS: From a whole blood sample of each of 12 healthy male volunteers, 4 PRP samples were prepared using 4 different commercial kits [Arthrex Autologous Conditioned Plasma (ACP), Mini GPS III, Xerthra, Dr. PRP] in accordance with the instructions provided by the manufacturers. A comparative analysis of blood cell components - 13 selected inflammatory cytokines and 7 growth factors - in the obtained PRP samples was performed using the Kruskal-Wallis test by ranks. The repeatability of results in each method was evaluated by the estimation of the coefficient of variation. The Spearman correlation was used to estimate the relationship between blood cell content and cytokines. RESULTS: Significantly higher concentrations of platelets (PLT), white blood cells (WBC) and red blood cells (RBC) were found in PRP obtained with the use of Mini GPS III than in PRP obtained using other systems. Significant differences in the content of growth factors and cytokines in PRP were found. A positive correlation of the amount of PLT, RBC and WBC with the concentration of most of the growth factors was found but in only three inflammatory cytokines. The obtained correlations between blood cell components and cytokines differed between the systems in terms of statistical significance, which may be due to insufficient sample size. The repeatability of the obtained PLT concentration also varied between protocols with the lowest in Xerthra and the highest in Arthrex ACP. CONCLUSION: Significant differences in the content of biologically active components and their repeatability were found in PRP obtained by various methods, providing new data for further research.",2022,World journal of orthopedics,10.5312/wjo.v13.i6.587,2022-06-18,Maciej Dejnek; Jarosław Witkowski; Helena Moreira; Sylwia Płaczkowska; Piotr Morasiewicz; Paweł Reichert; Aleksandra Królikowska,Chemokines; Cytokines; Growth factors; Platelet-rich plasma,0.14452993757169985,0.0951003625745808,True
